那	nǎ<div>that</div>	B1-L2-Family B1-L4-Hobbies
做饭	zuòfàn<div>to cook or prepare a meal</div>	B2-L17-Renting-An-Apartment
报纸	bàozhǐ<div>newspaper</div>	B2-L17-Renting-An-Apartment
广告	guǎnggào<div>advertisement</div>	B2-L17-Renting-An-Apartment
附近	fùjìn<div>vicinity; neighborhood; nearby area</div>	B2-L17-Renting-An-Apartment
套	tào<div>- (measure word for things that come in a set / sets)</div>	B2-L17-Renting-An-Apartment
公寓	gōngyù<div>apartment</div>	B2-L17-Renting-An-Apartment
走路	zǒulù<div>to walk (verb object)</div>	B2-L17-Renting-An-Apartment
分钟	fēnzhōng<div>a minute (of time)</div>	B2-L17-Renting-An-Apartment
卧室	wòshì<div>bedroom</div>	B2-L17-Renting-An-Apartment
厨房	chúfáng<div>kitchen</div>	B2-L17-Renting-An-Apartment
卫生间	wèishēngjiān<div>bathroom</div>	B2-L17-Renting-An-Apartment
客厅	kètīng<div>living room</div>	B2-L17-Renting-An-Apartment
家具	jiājù<div>furniture</div>	B2-L17-Renting-An-Apartment
可能	kěnéng<div>may; possible (mv/adj)</div>	B2-L17-Renting-An-Apartment
一房一听	yìfángyìtīng<div>one bedroom and one living room</div>	B2-L17-Renting-An-Apartment
椅子	yǐzi<div>chair</div>	B2-L17-Renting-An-Apartment
书架	shūjià<div>bookcase, bookshelf</div>	B2-L17-Renting-An-Apartment
那里	nàli<div>there</div>	B2-L17-Renting-An-Apartment
安静	ānjìng<div>quiet (adj)</div>	B2-L17-Renting-An-Apartment
房租	fángzū<div>rent (noun)</div><div><br></div><div>每个鱼月 fángzū 多少钱?</div>	B2-L17-Renting-An-Apartment
元	yuán<div>(measure word for basic Chinese monetary unit)</div>	B2-L17-Renting-An-Apartment
美元	Měiyuán<div>American dollar (USD)</div>	B2-L17-Renting-An-Apartment
人民币	Rénmínbì<div>Chinese currency, RMB</div>	B2-L17-Renting-An-Apartment
人民	rénmín<div>the people (noun)</div>	B2-L17-Renting-An-Apartment
币	bì<div>currency (noun)</div>	B2-L17-Renting-An-Apartment
差不多	chàbuduō<div>- almost, nearly (adverb)</div><div>- similar (adjective)</div>	B2-L17-Renting-An-Apartment B3-L1
押金	yājīn<div>security deposit</div>	B2-L17-Renting-An-Apartment
当	dāng<div>to serve as, to be</div><div><br></div><div>要多付一个月的房租 dāng 押金</div>	B2-L17-Renting-An-Apartment
另外	lìngwài<div>furthermore; in addition (conjunction)</div>	B2-L17-Renting-An-Apartment
准	zhǔn<div>to allow, to be allowed</div>	B2-L17-Renting-An-Apartment
养	yǎng<div>to raise (e.g., a pet)</div><div><br></div><div>你想 yǎng 什么宠物？</div>	B2-L17-Renting-An-Apartment
宠物	chǒngwù<div>pet [i.e., an animal as a pet] (noun)</div>	B2-L17-Renting-An-Apartment
当然	dāngrán<div>of course (adverb)</div><div><br></div><div>你平常吃那么多，dāngrán 越来越胖了</div>	L18-Sports
胖	pàng<div>fat (adjective)</div>	L18-Sports
怕	pà<div>to fear, to be afraid of (verb)</div>	L18-Sports
简单	jiǎndān<div>simple (adjective)</div>	L18-Sports
跑步	pǎobù<div>to jog (verb-object)</div>	L18-Sports
跑	pǎo<div>to run (verb)</div>	L18-Sports
难受	nánshòu<div>hard to bear, uncomfortable</div><div>[separate the nán and shòu for logical separation, based on grammar point in lesson]</div>	L18-Sports
网球	wǎngqiú<div>tennis [the sport] (noun)</div>	L18-Sports
拍	pāi<div>racket (noun)</div>	L18-Sports
篮球	lánqiú<div>basketball (noun)</div>	L18-Sports
游泳	yóuyǒng<div>to swim (verb-object)</div>	L18-Sports
危险	wēixiǎn<div>dangerous (adjective)</div>	L18-Sports
淹死	yānsǐ<div>to drown (verb complement)</div>	L18-Sports
愿意	yuànyì<div>to be willing (modal verb)</div>	L18-Sports
上大学	shàng dàxué<div>to attend college / university (verb object)</div>	L18-Sports
为了	wèile<div>for the sake of (preposition)</div>	L18-Sports
提高	tígāo<div>to improve, to raise, to heighten (verb)</div>	L18-Sports
水平	shuǐpíng<div>level, standard (noun)</div>	L18-Sports
足球	zúqiú<div>soccer, football (noun)</div>	L18-Sports
比赛	bǐsài<div>- game, match, competition (noun)</div><div>- to compete (verb)</div>	L18-Sports
国际	guójì<div>international (adjective)</div>	B2-L18-Sports B3-L1
美式	Měishì<div>American-style (adjective)</div>	L18-Sports
应该	yīnggāi<div>should, ought to (modal verb)</div>	L18-Sports
脚	jiǎo<div>foot (noun)</div>	L18-Sports
踢	tī<div>to kick (verb)</div>	L18-Sports
手	shǒu<div>hand [body part] (noun)</div>	L18-Sports
抱	bào<div>to hold or carry in arms (verb)</div>	L18-Sports
担心	dānxīn<div>to worry (verb object)</div>	B2-L18-Sports B3-L1
棒	bàng<div>fantastic, super [colloquial] (adjective)</div>	L18-Sports
运动服	yùndòngfú<div>sportswear, athletic clothing (noun)</div>	L18-Sports
半天	bàntiān<div>half a day, a long time</div>	L18-Sports
放假	fàngjià<div>to go on vacation, to have time off</div>	B2-L19-Travel
假	jià<div>vacation, holiday (noun)</div>	B2-L19-Travel
公司	gōngsī<div>- company [i.e., enterprise engaged in some business] (noun)</div>	B2-L19-Travel
实习	shíxí<div>to intern (verb)</div>	B2-L19-Travel
打工	dǎgōng<div>to work at a temporary job [often part-time] (verb-object)</div>	B2-L19-Travel
计划	jìhuà<div>- plan (noun)</div><div>- to plan (verb)</div>	B2-L19-Travel
暑假	shǔjià<div>summer vacation (noun)</div>	B2-L19-Travel
打算	dǎsuàn<div>- to plan (verb)</div><div>- plan (noun)</div>	B2-L19-Travel
父母	fùmǔ<div>parents [literally, father mother] (noun)</div>	B2-L19-Travel
首都	shǒudū<div>capital city (noun)</div>	B2-L19-Travel B3-L1
政治	zhèngzhì<div>politics (noun)</div>	B2-L19-Travel
文化	wénhuà<div>culture (noun)</div>	B2-L19-Travel
名胜古迹	míngshèng gǔjì<div>famous scenic spots and historic sites</div>	B2-L19-Travel
有名	yǒumíng<div>famous, well-known (adjective)</div>	B2-L19-Travel
导游	dǎoyóu<div>tour guide (noun)</div>	B2-L19-Travel
护照	hùzhào<div>passport (noun)</div>	B2-L19-Travel
签证	qiānzhèng<div>visa (noun)</div>	B2-L19-Travel
旅行社	lǚxíngshè<div>travel agency (noun)</div>	B2-L19-Travel
订	dìng<div>to reserve or book [hotel room, ticket, etc.] (verb)</div>	B2-L19-Travel
长城	Chāngchéng<div>Great Wall (proper noun)</div>	B2-L19-Travel
香港	Xiānggǎng<div>Hong Kong (proper noun)</div>	B2-L19-Travel
台北	Táiběi<div>Taipei [the city] (proper noun)</div>	B2-L19-Travel
初	chū<div>beginning (noun)</div>	B2-L19-Travel
单程	dānchéng<div>one-way trip (noun)</div>	B2-L19-Travel
往返	wǎngfǎn<div>make a round trip, go there and back (verb)</div>	B2-L19-Travel
航空	hángkōng<div>aviation (noun)</div>	B2-L19-Travel
查	chá<div>to check, to look into (verb)</div>	B2-L19-Travel B3-L1
航班	hángbān<div>scheduled flight (noun)</div>	B2-L19-Travel
千	qiān<div>one thousand</div>	B2-L19-Travel
直飞	zhífēi<div>fly directly</div>	B2-L19-Travel
打折	dǎzhé<div>to sell at a discount, to give a discount (verb-object)</div>	B2-L19-Travel
转机	zhuǎnjī<div>to change planes (verb-object)</div>	B2-L19-Travel
靠	kào<div>to lean on, to lean against, to be next to (verb)</div>	B2-L19-Travel
窗户	chuānghu<div>window (noun)</div>	B2-L19-Travel
走道	zǒudào<div>aisle (noun)</div>	B2-L19-Travel
素餐	sùcān<div>vegetarian meal (noun)</div>	B2-L19-Travel
旅馆	lǚguǎn<div>hotel (noun)</div>	B2-L19-Travel
行李	xíngli<div>luggage (noun)</div>	B2-L20-At-The-Airport B3-L1
托运	tuōyùn<div>to check [luggage] (verb)</div>	B2-L20-At-The-Airport
包	bāo<div>bag, sack, bundle, package (noun)</div>	B2-L20-At-The-Airport
箱子	xiāngzi<div>suitcase, box (noun)</div>	B2-L20-At-The-Airport
超重	chāozhòng<div>to be verweight [of luggage, freight, etc.] (verb)</div>	B2-L20-At-The-Airport
登机牌	dēngjīpái<div>boarding pass (noun)</div>	B2-L20-At-The-Airport
牌	pái<div>plate, tablet, card (noun)</div>	B2-L20-At-The-Airport
登机口	dēngjīkǒu<div>boarding gate [e.g., for airplane] (noun)</div>	B2-L20-At-The-Airport
哭	kù<div>to cry, to weep (verb)</div>	B2-L20-At-The-Airport
地	de<div>sentence particle to link adverbial and verb [in English, the 'ly' ending is similar] (particle)</div>	B2-L20-At-The-Airport
照顾	zhàogu<div>to look after, to care for, to attend to (verb)</div>	B2-L20-At-The-Airport
起飞	qǐfēi<div>to take off [for an airplane] (verb)</div>	B2-L20-At-The-Airport
小心	xiǎoxīn<div>to be careful (verb)</div>	B2-L20-At-The-Airport
一路聘干	yílù píng'ān<div>have a good trip, bon voyage</div>	B2-L20-At-The-Airport
叔叔	shūshu<div>uncle [चाचा, काका, father's younger brother] (noun)</div>	B2-L20-At-The-Airport
阿姨	āyí<div>मासी, mother's sister (noun)</div>	B2-L20-At-The-Airport
欢迎	huānyíng<div>to welcome (verb)</div>	B2-L20-At-The-Airport
瘦	shòu<div>thin, skinny, lean (adjective)</div>	B2-L20-At-The-Airport
爷爷	yéye<div>दादा, paternal grandfather</div>	B2-L20-At-The-Airport
奶奶	nǎinai<div>दादी, paternal grandmother</div>	B2-L20-At-The-Airport
烤鸭	kǎoyā<div>roast duck (noun)</div>	B2-L20-At-The-Airport
首都机场	Shǒudū Jīchǎng<div>Capital Airport [i.e., the Beijing capital airport]</div>	B2-L20-At-The-Airport
外公	wàigōng<div>नाना, maternal grandfather [said in south]</div>	B2-L20-At-The-Airport
外婆	wàipó<div>नानी, maternal grandmother</div>	B2-L20-At-The-Airport
伯伯	bóbo<div>ताऊजी, father's older brother</div>	B2-L20-At-The-Airport
大妈	dàmā<div>ताईजी, father's older brother's wife</div>	B2-L20-At-The-Airport
婶婶	shěnshen<div>चाची, father's younger brother's wife</div>	B2-L20-At-The-Airport
姑姑	gūgu<div>बुआ, father's sister</div>	B2-L20-At-The-Airport
姑父	gūfù<div>फुफासा, father's sister's husband</div>	B2-L20-At-The-Airport
姨父	<div>yiífu</div>मासोसा, mother's sister's husband	B2-L20-At-The-Airport
<div><div><div><div>你的笑点好低</div></div></div></div>	- someone who laughs too easily<div>- someone who is easygoing, kind</div>	Encountered
嫂嫂	sǎosao<div>भाभी, elder brother's wife</div>	B2-L20-At-The-Airport
姐夫	jiěfu<div>जीजाजी, older sister's husband</div>	B2-L20-At-The-Airport
弟妹	dìmèi<div>भयोजी, younger brother's wife</div>	B2-L20-At-The-Airport
妹夫	<div>mèifu</div>बहनोईसा, younger sister's husband	B2-L20-At-The-Airport
堂哥	tánggē<div>छोटा चचेरा भाई, father's brother's son older than you</div>	B2-L20-At-The-Airport
堂弟	tángdì<div>छोटा चचेरा भाई, father's brother's son younger than you</div>	B2-L20-At-The-Airport
堂姐	tángjiě<div>बङी चचेरी बहन, father's brother's daughter older than you</div>	B2-L20-At-The-Airport
堂妹	tángmèi<div>छोटी चचेरी बहन, father's brother's daughter younger than you</div>	B2-L20-At-The-Airport
表哥	biǎogē<div>non-same-family-name older cousin brother</div>	B2-L20-At-The-Airport
表弟	biǎodì<div>non-same-family-name younger cousin brother</div>	B2-L20-At-The-Airport
表妹	biǎomèi<div>non-same-family-name younger cousin sister</div>	B2-L20-At-The-Airport
儿媳妇	érxífu<div>बहू, son's wife</div>	B2-L20-At-The-Airport
女婿	nǚxu<div>दामाद, जमाइ, daughter's husband</div>	B2-L20-At-The-Airport
孙子	sūnzi<div>पोता, son's son</div>	B2-L20-At-The-Airport
孙女	sūnnǚ<div>पोती, son's daughter</div>	B2-L20-At-The-Airport
外孙	wàisūn<div>दोहितो, daughter's son</div>	B2-L20-At-The-Airport
外孙女	wàisūnnǚ<div>दोहिती, daughter's daughter</div>	B2-L20-At-The-Airport
准时	zhǔnshí<div>punctually, on time (adj/adv)</div>	B3-L1
降落	jiàngluò<div>land, descend (verb)</div>	B3-L1
外事处	wàishìchù<div>foreign affairs office (noun)</div>	B3-L1
派	pài<div>dispatch, send (verb)</div>	B3-L1
通过	tōngguò<div>pass, pass through, go through (verb)</div>	B3-L1
海关	hǎiguān<div>customs [e.g., at airport] (noun)</div>	B3-L1
花花公子	Huāhuā gōngzǐ<div>Playboy [the magazine/company] (proper noun)</div>	B3-L1
据说	jùshuō<div>it is said, they say (adverb)</div>	B3-L1
杂志	zázhì<div>magazine [printed booklet] (noun)</div>	B3-L1
严	yán<div>strict, severe, stern (adjective)</div>	B3-L1
好在	hǎozài<div>luckily, fortunately (adverb)</div>	B3-L1
根本	gēnběn<div>utterly, completely, at all [always used for negative connotation] (adverb)</div>	B3-L1
打开	dǎ//kāi<div>open (verb-complement)</div>	B3-L1
坐上	zuò//.shàng<div>get on [a vehicle] (verb-complement)</div>	B3-L1
部	bù<div>measure word for cars or movies (measure word)</div>	B3-L1
大巴	dàbā<div>large bus (noun)</div>	B3-L1
